Component Name,Component Version
org_webjars_npm_jquery_3_7_1,org.webjars.npm:jquery:3.7.1
org_webjars_npm_tslib_2_6_2,org.webjars.npm:tslib:2.6.2
org_webjars_bower_github_com_polymer_polymer_2_5_0,org.webjars.bower:github-com-polymer-polymer:2.5.0
org_webjars_bowergithub_jquery_jquery_dist_3_7_1,org.webjars.bowergithub.jquery:jquery-dist:3.7.1
com_sun_xml_bind_jaxb_impl_4_0_4,com.sun.xml.bind:jaxb-impl:4.0.4
xerces_xercesImpl_2_12_2,xerces:xercesImpl:2.12.2
jakarta_xml_bind_jakarta_xml_bind_api_4_0_1,jakarta.xml.bind:jakarta.xml.bind-api:4.0.1
com_thoughtworks_xstream_xstream_1_4_20,com.thoughtworks.xstream:xstream:1.4.20
com_fasterxml_jackson_dataformat_jackson_dataformat_xml_2_16_1,com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.16.1
com_sun_xml_bind_jaxb_core_4_0_4,com.sun.xml.bind:jaxb-core:4.0.4
org_scala_lang_modules_scala_xml_3_2_2_0,org.scala-lang.modules:scala-xml_3:2.2.0
org_apache_xmlbeans_xmlbeans_5_2_0,org.apache.xmlbeans:xmlbeans:5.2.0
org_jdom_jdom2_2_0_6_1,org.jdom:jdom2:2.0.6.1
org_apache_groovy_groovy_xml_4_0_17,org.apache.groovy:groovy-xml:4.0.17
com_fasterxml_woodstox_woodstox_core_6_6_0,com.fasterxml.woodstox:woodstox-core:6.6.0
org_springframework_spring_oxm_6_1_3,org.springframework:spring-oxm:6.1.3
org_springframework_spring_oxm_5_3_31,org.springframework:spring-oxm:5.3.31
com_alipay_sofa_sofa_rpc_all_5_11_1,com.alipay.sofa:sofa-rpc-all:5.11.1
com_alipay_common_tracer_3_0_9,com.alipay.common:tracer:3.0.9
com_alipay_sofa_common_sofa_common_tools_2_1_0,com.alipay.sofa.common:sofa-common-tools:2.1.0
com_alipay_configserver_config_common_4_3_6_alipay,com.alipay.configserver:config-common:4.3.6.alipay
com_alipay_android_phone_mobilesdk_framework_api_2_1_1,com.alipay.android.phone.mobilesdk:framework-api:2.1.1
com_alipay_sofa_cloud_sdk_core_0_1,com.alipay.sofa.cloud:sdk-core:0.1
org_springframework_boot_spring_boot_configuration_processor_3_2_1,org.springframework.boot:spring-boot-configuration-processor:3.2.1
org_springframework_spring_web_6_1_3,org.springframework:spring-web:6.1.3
org_springframework_spring_core_6_1_3,org.springframework:spring-core:6.1.3
org_springframework_spring_beans_6_1_3,org.springframework:spring-beans:6.1.3
org_springframework_spring_jdbc_6_1_3,org.springframework:spring-jdbc:6.1.3
org_springframework_spring_tx_6_1_3,org.springframework:spring-tx:6.1.3
org_springframework_spring_context_support_6_1_3,org.springframework:spring-context-support:6.1.3
org_springframework_boot_spring_boot_3_2_1,org.springframework.boot:spring-boot:3.2.1
org_springframework_spring_aop_6_1_3,org.springframework:spring-aop:6.1.3
org_springframework_spring_orm_6_1_3,org.springframework:spring-orm:6.1.3
org_springframework_boot_spring_boot_starter_security_3_2_1,org.springframework.boot:spring-boot-starter-security:3.2.1
org_springframework_boot_spring_boot_starter_data_redis_3_2_1,org.springframework.boot:spring-boot-starter-data-redis:3.2.1
org_springframework_spring_expression_6_1_3,org.springframework:spring-expression:6.1.3
org_springframework_data_spring_data_commons_3_2_2,org.springframework.data:spring-data-commons:3.2.2
org_springframework_security_spring_security_web_6_2_1,org.springframework.security:spring-security-web:6.2.1
org_springframework_security_spring_security_config_6_2_1,org.springframework.security:spring-security-config:6.2.1
org_springframework_boot_spring_boot_starter_jdbc_3_2_1,org.springframework.boot:spring-boot-starter-jdbc:3.2.1
org_springframework_spring_webmvc_6_1_3,org.springframework:spring-webmvc:6.1.3
